Time (s),AccelX (g),AccelY (g),AccelZ (g)
0.0260,-0.0723,-1.0137,-0.1230
0.0520,-0.0684,-1.0117,-0.1465
0.0780,-0.0586,-0.9863,-0.1289
0.1040,-0.0664,-1.0117,-0.0938
0.1290,-0.0762,-1.0098,-0.1035
0.1550,-0.0723,-0.9512,-0.1465
0.1810,-0.0742,-0.9668,-0.1504
0.2070,-0.0742,-0.9668,-0.1191
0.2330,-0.0801,-0.9492,-0.1270
0.2590,-0.0918,-1.0059,-0.1250
0.2840,-0.4414,-11.0059,-3.2539
0.3100,-2.1328,-22.6270,-1.5312
0.3360,-0.6230,-26.7500,5.6699
0.3620,0.2676,-28.7891,3.6289
0.3880,0.4473,-29.9746,1.7109
0.4390,2.3477,-30.9023,1.8496
0.4640,1.8340,-32.5176,0.8945
0.4910,0.1250,-33.2754,0.0879
0.5170,0.2500,-33.9570,0.6465
0.5420,0.2656,-34.2793,1.0059
0.5680,0.1855,-34.5898,1.2227
0.5940,-0.0137,-35.0000,1.2148
0.6200,0.4219,-35.1836,1.4141
0.6460,0.1699,-35.0742,1.3926
0.6710,-0.0215,-35.2949,1.3379
0.6970,-0.2891,-35.4922,1.0117
0.7230,0.1289,-35.4805,0.9375
0.7490,0.6133,-35.3867,1.0137
0.7750,0.5332,-35.3184,0.8672
0.8000,0.3027,-34.9844,0.0156
0.8510,0.4609,-34.8184,0.0625
0.8780,0.6523,-34.7324,0.3047
0.9040,0.4668,-34.3398,0.2598
0.9290,0.6094,-34.1543,1.0625
0.9550,0.6230,-33.9395,0.8965
0.9800,-0.2949,-33.3398,-0.2637
1.0070,-0.4492,-32.8867,-0.5508
1.0330,-0.5664,-29.6738,-0.4609
1.0580,-0.5117,-14.7793,-0.5918
1.0840,-0.4258,-7.1719,-0.7930
1.1090,-0.7090,-1.2559,-0.4727
1.1360,-0.3164,1.9824,0.5879
1.1620,-0.4824,3.1055,-0.2266
1.1870,-0.6621,2.9219,-0.7207
1.2130,-0.4199,2.7070,-0.6191
1.2640,0.0156,2.8203,-0.0039
1.2910,-0.0469,3.2812,-0.3320
1.3160,-0.6855,3.3047,-0.5938
1.3420,-0.6934,2.7637,-0.4297
1.3680,-0.3828,2.4492,-0.4883
1.3930,-0.2734,2.3926,-0.6895
1.4200,-0.0957,2.5996,-1.0293
1.4450,-0.2773,2.6875,-0.8301
1.4710,-0.5801,2.6367,-0.8418
1.4970,-0.5371,2.7090,-0.6426
1.5220,-0.2930,2.3984,-0.9238
1.5490,-0.4844,2.2324,-0.8926
1.5740,-0.6250,2.1699,-0.4375
1.6000,-0.3184,2.1738,-0.4492
1.6260,-0.0078,2.3145,-0.7363
1.6780,-0.1836,2.3965,-1.1484
1.7030,-0.6016,2.6973,-1.2715
1.7290,-0.5996,2.5508,-0.8672
1.7550,-0.3359,2.3340,-0.5391
1.7800,-0.0527,2.1211,-0.2051
1.8070,-0.3027,2.0547,-0.4199
1.8320,-0.4824,1.9863,-0.2324
1.8580,-0.5684,2.0098,-0.3379
1.8840,-0.3730,2.1035,-0.8184
1.9090,-0.4160,2.1152,-0.6250
1.9360,-0.3672,2.1934,-0.5508
1.9610,-0.4023,2.2090,-0.6797
1.9870,-0.4121,2.3105,-0.3887
2.0130,-0.3223,2.3262,-0.4121
2.0380,-0.5078,2.4082,-0.7246
2.0900,-0.5195,2.4668,-0.6660
2.1160,-0.4551,2.2891,-0.8047
2.1420,-0.4434,2.2520,-0.9434
2.1670,-0.5859,2.4355,-0.6914
2.1930,-0.4863,2.1523,-0.5879
2.2190,-0.3242,2.0488,-0.5977
2.2450,-0.5684,1.7383,-1.1270
2.2710,-0.5137,1.9004,-1.1152
2.2960,-0.5000,2.0234,-0.8027
2.3220,-0.3789,2.0938,-0.3242
2.3480,-0.0898,1.9668,0.0527
2.3740,-0.2793,1.9727,0.1250
2.4000,-0.3633,1.7871,-0.1113
2.4250,-0.4453,1.9883,-0.5332
2.4510,-0.5781,1.9785,-0.4492
2.5030,-0.6074,1.9531,-0.3145
2.5290,-0.3926,1.8594,-0.3242
2.5540,-0.4004,1.9434,-0.5586
2.5800,-0.4414,1.8574,-0.6133
2.6070,-0.4902,1.9707,-0.9082
2.6320,-0.4102,1.8555,-0.8457
2.6580,-0.1602,1.8223,-0.4805
2.6830,-0.0508,1.8223,-0.3633
2.7090,-0.3418,1.9258,-0.8438
2.7360,-0.3418,1.9863,-0.7988
2.7610,-0.2500,1.9551,-0.6035
2.7870,-0.1406,1.5234,-0.5273
2.8120,-0.4160,1.5742,-0.4844
2.8380,-0.4121,1.5898,-0.7988
2.8650,-0.2285,1.5781,-0.8066
2.9160,-0.3633,1.6035,-0.5039
2.9410,-0.3848,1.4590,-0.4590
2.9670,-0.2227,1.8086,-0.4727
