Time (s),Pressure (MilliBar)
0.0260,959.9100
0.0520,959.9200
0.0770,959.9100
0.1040,959.9400
0.1290,959.8900
0.1550,959.9300
0.1810,959.8600
0.2060,959.9000
0.2330,959.8700
0.2590,959.8500
0.2840,958.4800
0.3100,959.9100
0.3350,959.5099
0.3620,959.3800
0.3880,959.2000
0.4390,958.9300
0.4640,958.5600
0.4900,957.4800
0.5170,956.7800
0.5420,955.9400
0.5680,954.7900
0.5930,953.7700
0.6200,952.5300
0.6460,951.3700
0.6710,950.5800
0.6970,950.0300
0.7220,949.5500
0.7490,948.8700
0.7750,947.6200
0.8000,946.2700
0.8510,944.8900
0.8770,943.6000
0.9040,940.5400
0.9290,938.8800
0.9550,937.0099
0.9800,935.3100
1.0060,933.4800
1.0330,931.6300
1.0580,930.0300
1.0840,929.1600
1.1090,931.7400
1.1350,932.3100
1.1620,932.1200
1.1870,931.7500
1.2130,931.3000
1.2640,930.9200
1.2900,930.4200
1.3160,929.4100
1.3420,928.8300
1.3680,928.2300
1.3930,927.6600
1.4190,927.0400
1.4450,926.4500
1.4710,925.9700
1.4970,925.4800
1.5220,924.9200
1.5490,924.4100
1.5740,923.8200
1.6000,923.3600
1.6260,922.8200
1.6770,922.3100
1.7030,921.7700
1.7290,920.7500
1.7550,920.3600
1.7800,919.8100
1.8060,919.2400
1.8320,918.7700
1.8580,918.3800
1.8840,917.8000
1.9090,917.3300
1.9350,916.8300
1.9610,916.3700
1.9870,915.7600
2.0130,915.3300
2.0380,914.8300
2.0890,914.3700
2.1160,913.9400
2.1420,912.9100
2.1670,912.4100
2.1930,911.9900
2.2180,911.5100
2.2450,911.0600
2.2710,910.5300
2.2960,910.1200
2.3220,909.6500
2.3470,909.1800
2.3740,908.7100
2.4000,908.2700
2.4250,907.8200
2.4510,907.4100
2.5020,906.9400
2.5290,906.6300
2.5540,905.7200
2.5800,905.2200
2.6060,904.6600
2.6320,904.3100
2.6580,903.8000
2.6830,903.2200
2.7090,902.9500
2.7350,902.4900
2.7610,902.0700
2.7870,901.5400
2.8120,901.1900
2.8380,900.7500
2.8640,900.3800
2.9160,899.9100
2.9410,899.4500
2.9670,898.6000
2.9930,898.1300
3.0180,897.7400
3.0450,897.3200
3.0700,896.9300
3.0960,896.4500
3.1220,896.1100
3.1470,895.6200
3.1740,895.2100
3.1990,894.7800
3.2250,894.3800
3.2510,893.9900
3.2760,893.5900
3.3280,893.1900
3.3540,892.7600
3.3800,891.8900
3.4050,891.5800
3.4320,891.1900
3.4570,890.8500
3.4830,890.3600
3.5090,889.9000
3.5340,889.4900
3.5610,889.0500
3.5870,888.6200
3.6120,888.1700
3.6380,887.7300
3.6630,887.3100
3.6900,886.8100
3.7410,886.3700
3.7670,886.0500
3.7920,885.2900
3.8180,884.9400
3.8450,884.5700
3.8700,884.1400
3.8960,883.8300
3.9210,883.3500
3.9470,883.0200
3.9740,882.5600
3.9990,882.2300
4.0250,881.8300
4.0500,881.5100
4.0770,881.1700
4.1030,880.7400
4.1540,880.2800
4.1790,880.0100
4.2050,879.2600
4.2320,878.8800
4.2570,878.5100
4.2830,878.0700
4.3080,877.7900
4.3340,877.4500
4.3600,877.0300
4.3850,876.6900
4.4110,876.2900
4.4360,875.8900
4.4620,875.5500
4.4880,875.1400
4.5130,874.7500
4.5640,874.5100
4.5900,874.1300
4.6160,873.3900
4.6410,873.0800
4.6670,872.7200
4.6920,872.4000
4.7180,872.0100
4.7440,871.6500
4.7690,871.3200
4.7950,870.9200
4.8200,870.6800
4.8460,870.2400
4.8720,869.9000
4.8970,869.5700
4.9230,869.2200
4.9740,868.9600
5.0000,868.5500
5.0250,867.9200
5.0510,867.5900
5.0760,867.3200
5.1020,866.9500
5.1280,866.6200
5.1530,866.2900
5.1790,865.9800
5.2040,865.6000
