Time (s),AccelX (g),AccelY (g),AccelZ (g)
0.0000,63.9980,63.9980,63.9980
0.0260,127.9277,126.9863,127.8770
0.0520,127.9316,126.9883,127.8535
0.0780,127.9414,127.0137,127.8711
0.1040,127.9336,126.9883,127.9062
0.1290,127.9238,126.9902,127.8965
0.1550,127.9277,127.0488,127.8535
0.1810,127.9258,127.0332,127.8496
0.2070,127.9258,127.0332,127.8809
0.2330,127.9199,127.0508,127.8730
0.2590,127.9082,126.9941,127.8750
0.2840,127.5586,116.9941,124.7461
0.3100,125.8672,105.3730,126.4688
0.3360,127.3770,101.2500,5.6699
0.3620,0.2676,99.2109,3.6289
0.3880,0.4473,98.0254,1.7109
0.4130,63.9980,63.9980,63.9980
0.4390,2.3477,97.0977,1.8496
0.4640,1.8340,95.4824,0.8945
0.4910,0.1250,94.7246,0.0879
0.5170,0.2500,94.0430,0.6465
0.5420,0.2656,93.7207,1.0059
0.5680,0.1855,93.4102,1.2227
0.5940,127.9863,93.0000,1.2148
0.6200,0.4219,92.8164,1.4141
0.6460,0.1699,92.9258,1.3926
0.6710,127.9785,92.7051,1.3379
0.6970,127.7109,92.5078,1.0117
0.7230,0.1289,92.5195,0.9375
0.7490,0.6133,92.6133,1.0137
0.7750,0.5332,92.6816,0.8672
0.8000,0.3027,93.0156,0.0156
0.8260,63.9980,63.9980,63.9980
0.8510,0.4609,93.1816,0.0625
0.8780,0.6523,93.2676,0.3047
0.9040,0.4668,93.6602,0.2598
0.9290,0.6094,93.8457,1.0625
0.9550,0.6230,94.0605,0.8965
0.9800,127.7051,94.6602,127.7363
1.0070,127.5508,95.1133,127.4492
1.0330,127.4336,98.3262,127.5391
1.0580,127.4883,113.2207,127.4082
1.0840,127.5742,120.8281,127.2070
1.1090,127.2910,126.7441,127.5273
1.1360,127.6836,1.9824,0.5879
1.1620,127.5176,3.1055,127.7734
1.1870,127.3379,2.9219,127.2793
1.2130,127.5801,2.7070,127.3809
1.2380,63.9980,63.9980,63.9980
1.2640,0.0156,2.8203,127.9961
1.2910,127.9531,3.2812,127.6680
1.3160,127.3145,3.3047,127.4062
1.3420,127.3066,2.7637,127.5703
1.3680,127.6172,2.4492,127.5117
1.3930,127.7266,2.3926,127.3105
1.4200,127.9043,2.5996,126.9707
1.4450,127.7227,2.6875,127.1699
1.4710,127.4199,2.6367,127.1582
1.4970,127.4629,2.7090,127.3574
1.5220,127.7070,2.3984,127.0762
1.5490,127.5156,2.2324,127.1074
1.5740,127.3750,2.1699,127.5625
1.6000,127.6816,2.1738,127.5508
1.6260,127.9922,2.3145,127.2637
1.6510,63.9980,63.9980,63.9980
1.6780,127.8164,2.3965,126.8516
1.7030,127.3984,2.6973,126.7285
1.7290,127.4004,2.5508,127.1328
1.7550,127.6641,2.3340,127.4609
1.7800,127.9473,2.1211,127.7949
1.8070,127.6973,2.0547,127.5801
1.8320,127.5176,1.9863,127.7676
1.8580,127.4316,2.0098,127.6621
1.8840,127.6270,2.1035,127.1816
1.9090,127.5840,2.1152,127.3750
1.9360,127.6328,2.1934,127.4492
1.9610,127.5977,2.2090,127.3203
1.9870,127.5879,2.3105,127.6113
2.0130,127.6777,2.3262,127.5879
2.0380,127.4922,2.4082,127.2754
2.0640,63.9980,63.9980,63.9980
2.0900,127.4805,2.4668,127.3340
2.1160,127.5449,2.2891,127.1953
2.1420,127.5566,2.2520,127.0566
2.1670,127.4141,2.4355,127.3086
2.1930,127.5137,2.1523,127.4121
2.2190,127.6758,2.0488,127.4023
2.2450,127.4316,1.7383,126.8730
2.2710,127.4863,1.9004,126.8848
2.2960,127.5000,2.0234,127.1973
2.3220,127.6211,2.0938,127.6758
2.3480,127.9102,1.9668,0.0527
2.3740,127.7207,1.9727,0.1250
2.4000,127.6367,1.7871,127.8887
2.4250,127.5547,1.9883,127.4668
2.4510,127.4219,1.9785,127.5508
2.4760,63.9980,63.9980,63.9980
2.5030,127.3926,1.9531,127.6855
2.5290,127.6074,1.8594,127.6758
2.5540,127.5996,1.9434,127.4414
2.5800,127.5586,1.8574,127.3867
2.6070,127.5098,1.9707,127.0918
2.6320,127.5898,1.8555,127.1543
2.6580,127.8398,1.8223,127.5195
2.6830,127.9492,1.8223,127.6367
2.7090,127.6582,1.9258,127.1562
2.7360,127.6582,1.9863,127.2012
