Time (s),Pressure (MilliBar)
0.026,959.91
0.052,959.92
0.077,959.91
0.104,959.94
0.129,959.89
0.155,959.93
0.181,959.86
0.206,959.9
0.233,959.87
0.259,959.85
0.284,958.48
0.31,959.91
0.335,959.5099
0.362,959.38
0.388,959.2
0.439,958.93
0.464,958.56
0.49,957.48
0.517,956.78
0.542,955.94
0.568,954.79
0.593,953.77
0.62,952.53
0.646,951.37
0.671,950.58
0.697,950.03
0.722,949.55
0.749,948.87
0.775,947.62
0.8,946.27
0.851,944.89
0.877,943.6
0.904,940.54
0.929,938.88
0.955,937.0099
0.98,935.31
1.006,933.48
1.033,931.63
1.058,930.03
1.084,929.16
1.109,931.74
1.135,932.31
1.162,932.12
1.187,931.75
1.213,931.3
1.264,930.92
1.29,930.42
1.316,929.41
1.342,928.83
1.368,928.23
1.393,927.66
1.419,927.04
1.445,926.45
1.471,925.97
1.497,925.48
1.522,924.92
1.549,924.41
1.574,923.82
1.6,923.36
1.626,922.82
1.677,922.31
1.703,921.77
1.729,920.75
1.755,920.36
1.78,919.81
1.806,919.24
1.832,918.77
1.858,918.38
1.884,917.8
1.909,917.33
1.935,916.83
1.961,916.37
1.987,915.76
2.013,915.33
2.038,914.83
2.089,914.37
2.116,913.94
2.142,912.91
2.167,912.41
2.193,911.99
2.218,911.51
2.245,911.06
2.271,910.53
2.296,910.12
2.322,909.65
2.347,909.18
2.374,908.71
2.4,908.27
2.425,907.82
2.451,907.41
2.502,906.94
2.529,906.63
2.554,905.72
2.58,905.22
2.606,904.66
2.632,904.31
2.658,903.8
2.683,903.22
2.709,902.95
2.735,902.49
2.761,902.07
2.787,901.54
2.812,901.19
2.838,900.75
2.864,900.38
2.916,899.91
2.941,899.45
2.967,898.6
2.993,898.13
3.018,897.74
3.045,897.32
3.07,896.93
3.096,896.45
3.122,896.11
3.147,895.62
3.174,895.21
3.199,894.78
3.225,894.38
3.251,893.99
3.276,893.59
3.328,893.19
3.354,892.76
3.38,891.89
3.405,891.58
3.432,891.19
3.457,890.85
3.483,890.36
3.509,889.9
3.534,889.49
3.561,889.05
3.587,888.62
3.612,888.17
3.638,887.73
3.663,887.31
3.69,886.81
3.741,886.37
3.767,886.05
3.792,885.29
3.818,884.94
3.845,884.57
3.87,884.14
3.896,883.83
3.921,883.35
3.947,883.02
3.974,882.56
3.999,882.23
4.025,881.83
4.05,881.51
4.077,881.17
4.103,880.74
4.154,880.28
4.179,880.01
4.205,879.26
4.232,878.88
4.257,878.51
4.283,878.07
4.308,877.79
4.334,877.45
4.36,877.03
4.385,876.69
4.411,876.29
4.436,875.89
4.462,875.55
4.488,875.14
4.513,874.75
4.564,874.51
4.59,874.13
4.616,873.39
4.641,873.08
4.667,872.72
4.692,872.4
4.718,872.01
4.744,871.65
4.769,871.32
4.795,870.92
4.82,870.68
4.846,870.24
4.872,869.9
4.897,869.57
4.923,869.22
4.974,868.96
5,868.55
5.025,867.92
5.051,867.59
5.076,867.32
5.102,866.95
5.128,866.62
5.153,866.29
5.179,865.98
5.204,865.6
